"Short Name","Full Name",Faculty,Category,Instructors,TAs,"Session title",Section,Location,"Guest teacher",Type,length,Date,"Teaching strategy","Instruction type","
                    Topics","Specific objectives","Course Outcomes: all"
"PHARM 452 (LEC A1 Fa16)","PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16)","Faculty of Pharmacy and Pharmaceutical Sciences",", BSc in Pharmacy, ","Cheryl Sadowski",,"Class Introduction;Disability Presentation Introduction of Voice of Albertans with Disabilities Society (VADS) - (roles, activities, purpose) Disability – definitions, meaning, impact, epidemiology, types Interventions and advocacy from VADS (e.g. MD office visit) Pharmacy teams consultation with VADS",,"ECHA L1-420",Sadowski/Graham,lecture,"170 minutes",2016/09/06,"Direct Lecture",,,,"Consider disease and functional/disability information as relevant to the specific design needs. ","Classify forms of disability and identify functional supports associated with those disabilities.","Explain the current approach to pharmacy visits for individuals with disabilities, as completed by Alberta Committee on Citizens with Disabilities (ACCD).","Express empathy for those experiencing disabilities, impairments, or handicaps.","Listen to others with respect.","Appreciates the role of advocacy for those who are vulnerable."
"PHARM 452 (LEC A1 Fa16)","PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16)","Faculty of Pharmacy and Pharmaceutical Sciences",", BSc in Pharmacy, ","Cheryl Sadowski",,"Lecture (R Lederer) regarding project management;Work with groups to define project criteria and develop design outlines and goals",,"Design Studio",Lederer/Rasmussen/Sadowski,lecture,"170 minutes",2016/09/13,"Direct Lecture, Team Based Learning",,,,"Identify aspects of design that impact patient ability to manage medications.","Consider disease and functional/disability information as relevant to the specific design needs. ","Describe features of universal design.","Collaboration a.	Identify and employ appropriate technologies to facilitate collaboration b.	Employ appropriate team role behaviours to support team function c.	Takes action in instances where there is a lack of inclusivity, respect, or trust on the team d.	Identify opportunities to improve team outcomes  e.	Negotiate action with team members to plan and execute team tasks"
"PHARM 452 (LEC A1 Fa16)","PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16)","Faculty of Pharmacy and Pharmaceutical Sciences",", BSc in Pharmacy, ","Cheryl Sadowski",,"Disability project outlines developed",,"ECHA L1-420",Sadowski,lecture,"170 minutes",2016/09/20,"Direct Lecture, Active Learning, Team Based Learning",,,,"Identify health, medication management and safety needs for patients.","Identify aspects of design that impact patient ability to manage medications.","Consider disease and functional/disability information as relevant to the specific design needs. ","Describe features of universal design.","Classify forms of disability and identify functional supports associated with those disabilities.","Develop design features that ensure patients’ medication access, safety, health and medication management/monitoring","Demonstrate patient/client-centered (individual, family, community group) approach in design.","Develop writing and presentation skills (oral, written) to demonstrate effectively the team’s final design in front of peers, clients, or experts in design and health services.","Actively listen and engage in negotiation with clients to effectively plan the approach for the project.","Professional Roles a.	Share and evaluate own professional values and culture (translates knowledge to team members) b.	Articulate and share knowledge of other professional roles c.	Consult, seeks advice and confer with other professionals d.	Adapt professional role within a given context/ environment","Communication  a.	Integrate feedback into professional and team practice b.	Match level and mode of communication to the needs of team members c.	Actively listen and be receptive to the knowledge and opinions of others d.	Analyze conflict effectively and employ appropriate conflict resolution techniques/models e.	Develop presentations that consider the audience background, context, and learning needs","Collaboration a.	Identify and employ appropriate technologies to facilitate collaboration b.	Employ appropriate team role behaviours to support team function c.	Takes action in instances where there is a lack of inclusivity, respect, or trust on the team d.	Identify opportunities to improve team outcomes  e.	Negotiate action with team members to plan and execute team tasks","Reflection a.	Takes action based on reflection to improve personal and team performance  b.	Reflect on pharmacists’ contribution to the process. c.	Explore strengths and weaknesses in team composition and process","Express empathy for those experiencing disabilities, impairments, or handicaps.","Listen to others with respect.","Appreciates the role of advocacy for those who are vulnerable."
"PHARM 452 (LEC A1 Fa16)","PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16)","Faculty of Pharmacy and Pharmaceutical Sciences",", BSc in Pharmacy, ","Cheryl Sadowski",,"Team meetings with faculty members to discuss: Literature searches Background research Project strategies",,"Design Studio",Lederer/Rasmussen/Sadowski,lecture,"170 minutes",2016/09/27,"Direct Lecture, Active Learning, Team Based Learning",,,
"PHARM 452 (LEC A1 Fa16)","PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16)","Faculty of Pharmacy and Pharmaceutical Sciences",", BSc in Pharmacy, ","Cheryl Sadowski",,"Disability project development",,"ECHA L1-420",Sadowski,lecture,"170 minutes",2016/10/04,"Direct Lecture, Active Learning, Problem Based Learning, Team Based Learning",,,,"Identify health, medication management and safety needs for patients.","Identify aspects of design that impact patient ability to manage medications.","Consider disease and functional/disability information as relevant to the specific design needs. ","Describe features of universal design.","Develop design features that ensure patients’ medication access, safety, health and medication management/monitoring","Demonstrate patient/client-centered (individual, family, community group) approach in design.","Develop writing and presentation skills (oral, written) to demonstrate effectively the team’s final design in front of peers, clients, or experts in design and health services.","Actively listen and engage in negotiation with clients to effectively plan the approach for the project.","Professional Roles a.	Share and evaluate own professional values and culture (translates knowledge to team members) b.	Articulate and share knowledge of other professional roles c.	Consult, seeks advice and confer with other professionals d.	Adapt professional role within a given context/ environment","Communication  a.	Integrate feedback into professional and team practice b.	Match level and mode of communication to the needs of team members c.	Actively listen and be receptive to the knowledge and opinions of others d.	Analyze conflict effectively and employ appropriate conflict resolution techniques/models e.	Develop presentations that consider the audience background, context, and learning needs","Collaboration a.	Identify and employ appropriate technologies to facilitate collaboration b.	Employ appropriate team role behaviours to support team function c.	Takes action in instances where there is a lack of inclusivity, respect, or trust on the team d.	Identify opportunities to improve team outcomes  e.	Negotiate action with team members to plan and execute team tasks","Reflection a.	Takes action based on reflection to improve personal and team performance  b.	Reflect on pharmacists’ contribution to the process. c.	Explore strengths and weaknesses in team composition and process","Express empathy for those experiencing disabilities, impairments, or handicaps.","Listen to others with respect."
"PHARM 452 (LEC A1 Fa16)","PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16)","Faculty of Pharmacy and Pharmaceutical Sciences",", BSc in Pharmacy, ","Cheryl Sadowski",,"Team presentations:  presentation of design concept to clients, including the design concept - goals, objectives, needs, wants",,"Design Studio",Lederer/Rasmussen/Sadowski,lecture,"170 minutes",2016/10/11,"Direct Lecture",,,,"Identify health, medication management and safety needs for patients.","Identify aspects of design that impact patient ability to manage medications.","Consider disease and functional/disability information as relevant to the specific design needs. ","Describe features of universal design.","Classify forms of disability and identify functional supports associated with those disabilities.","Develop design features that ensure patients’ medication access, safety, health and medication management/monitoring","Demonstrate patient/client-centered (individual, family, community group) approach in design.","Develop writing and presentation skills (oral, written) to demonstrate effectively the team’s final design in front of peers, clients, or experts in design and health services.","Actively listen and engage in negotiation with clients to effectively plan the approach for the project.","Professional Roles a.	Share and evaluate own professional values and culture (translates knowledge to team members) b.	Articulate and share knowledge of other professional roles c.	Consult, seeks advice and confer with other professionals d.	Adapt professional role within a given context/ environment","Communication  a.	Integrate feedback into professional and team practice b.	Match level and mode of communication to the needs of team members c.	Actively listen and be receptive to the knowledge and opinions of others d.	Analyze conflict effectively and employ appropriate conflict resolution techniques/models e.	Develop presentations that consider the audience background, context, and learning needs","Collaboration a.	Identify and employ appropriate technologies to facilitate collaboration b.	Employ appropriate team role behaviours to support team function c.	Takes action in instances where there is a lack of inclusivity, respect, or trust on the team d.	Identify opportunities to improve team outcomes  e.	Negotiate action with team members to plan and execute team tasks","Reflection a.	Takes action based on reflection to improve personal and team performance  b.	Reflect on pharmacists’ contribution to the process. c.	Explore strengths and weaknesses in team composition and process","Express empathy for those experiencing disabilities, impairments, or handicaps.","Listen to others with respect."
"PHARM 452 (LEC A1 Fa16)","PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16)","Faculty of Pharmacy and Pharmaceutical Sciences",", BSc in Pharmacy, ","Cheryl Sadowski",,"Disability project development",,"ECHA L1-420",Sadowski,lecture,"170 minutes",2016/10/18,"Direct Lecture, Active Learning, Team Based Learning",,,,"Identify health, medication management and safety needs for patients.","Identify aspects of design that impact patient ability to manage medications.","Consider disease and functional/disability information as relevant to the specific design needs. ","Describe features of universal design.","Classify forms of disability and identify functional supports associated with those disabilities.","Develop design features that ensure patients’ medication access, safety, health and medication management/monitoring","Demonstrate patient/client-centered (individual, family, community group) approach in design.","Develop writing and presentation skills (oral, written) to demonstrate effectively the team’s final design in front of peers, clients, or experts in design and health services.","Actively listen and engage in negotiation with clients to effectively plan the approach for the project.","Professional Roles a.	Share and evaluate own professional values and culture (translates knowledge to team members) b.	Articulate and share knowledge of other professional roles c.	Consult, seeks advice and confer with other professionals d.	Adapt professional role within a given context/ environment","Communication  a.	Integrate feedback into professional and team practice b.	Match level and mode of communication to the needs of team members c.	Actively listen and be receptive to the knowledge and opinions of others d.	Analyze conflict effectively and employ appropriate conflict resolution techniques/models e.	Develop presentations that consider the audience background, context, and learning needs","Collaboration a.	Identify and employ appropriate technologies to facilitate collaboration b.	Employ appropriate team role behaviours to support team function c.	Takes action in instances where there is a lack of inclusivity, respect, or trust on the team d.	Identify opportunities to improve team outcomes  e.	Negotiate action with team members to plan and execute team tasks","Reflection a.	Takes action based on reflection to improve personal and team performance  b.	Reflect on pharmacists’ contribution to the process. c.	Explore strengths and weaknesses in team composition and process","Express empathy for those experiencing disabilities, impairments, or handicaps.","Listen to others with respect."
"PHARM 452 (LEC A1 Fa16)","PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16)","Faculty of Pharmacy and Pharmaceutical Sciences",", BSc in Pharmacy, ","Cheryl Sadowski",,"Presentation of Design Briefs to Faculty",,"Design Studio",Lederer/Rasmussen/Sadowski,lecture,"170 minutes",2016/10/25,,,,
"PHARM 452 (LEC A1 Fa16)","PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16)","Faculty of Pharmacy and Pharmaceutical Sciences",", BSc in Pharmacy, ","Cheryl Sadowski",,"Disability project presentations to VADS",,"ECHA L1-420",Sadowski,lecture,"170 minutes",2016/11/01,,,,
"PHARM 452 (LEC A1 Fa16)","PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16)","Faculty of Pharmacy and Pharmaceutical Sciences",", BSc in Pharmacy, ","Cheryl Sadowski",,"IP Group Consultation with Faculty",,"Design Studio",Lederer/Rasmussen/Sadowski,lecture,"170 minutes",2016/11/15,,,,
"PHARM 452 (LEC A1 Fa16)","PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16)","Faculty of Pharmacy and Pharmaceutical Sciences",", BSc in Pharmacy, ","Cheryl Sadowski",,"IP Group Consultation with Faculty",,"Design Studio",Sadowski,lecture,"170 minutes",2016/11/22,,,,
"PHARM 452 (LEC A1 Fa16)","PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16)","Faculty of Pharmacy and Pharmaceutical Sciences",", BSc in Pharmacy, ","Cheryl Sadowski",,"IP Team Final Presentations to Clients, Faculty, Guests",,"Design Studio",Lederer/Rasmussen/Sadowski,lecture,"170 minutes",2016/11/29,,,,
